scanner,tag,strength,timestamp,zone
202481600146643,10,-69,1551428536757811157,10398
202481602084751,10,-77,1551428536757986917,10398
202481601426033,10,-56,1551428536758028492,10398
202481590956569,10,-66,1551428536758205827,10398
202481598108029,10,-88,1551428536758677416,10398
202481599414040,10,-82,1551428536758791606,10398
202481592814994,10,-91,1551428536858071456,10398
202481590956569,10,-54,1551428536858200512,10398
202481594609210,10,-71,1551428536858348513,10398
202481600146643,10,-68,1551428536858369263,10398
202481601426033,10,-63,1551428536858611831,10398
202481602084751,10,-51,1551428536858689059,10398
202481599414040,10,-59,1551428536858699652,10398
202481600146643,10,-82,1551428536957833891,10398
202481590956569,10,-70,1551428536958221412,10398
202481602084751,10,-66,1551428536958267808,10398
202481599414040,10,-86,1551428536958297611,10398
202481590956569,10,-51,1551428537057871883,10398
202481602084751,10,-70,1551428537058016357,10398
202481599414040,10,-73,1551428537058097669,10398
202481594609210,10,-82,1551428537058159351,10398
202481592285809,10,-74,1551428537058374156,10398
202481601426033,10,-63,1551428537058680858,10398
202481593142629,10,-86,1551428537058683103,10398
202481590956569,10,-62,1551428537157758866,10398
202481594609210,10,-83,1551428537157867348,10398
202481599414040,10,-80,1551428537157885541,10398
202481598108029,10,-84,1551428537158015888,10398
202481601426033,10,-61,1551428537158043458,10398
202481602084751,10,-72,1551428537158078615,10398
202481592285809,10,-85,1551428537158087679,10398
202481593142629,10,-83,1551428537257773583,10398
202481590956569,10,-79,1551428537258017473,10398
202481594609210,10,-84,1551428537258239818,10398
202481602084751,10,-80,1551428537258362889,10398
202481601426033,10,-66,1551428537258853281,10398
202481590274456,10,-69,1551428537357817260,10398
202481594609210,10,-58,1551428537357925954,10398
202481590956569,10,-62,1551428537358589136,10398
202481592285809,10,-81,1551428537358595477,10398
202481601426033,10,-67,1551428537457809586,10398
202481590956569,10,-70,1551428537457833470,10398
202481602084751,10,-73,1551428537458666455,10398
202481599414040,10,-76,1551428537458677586,10398
202481600146643,10,-84,1551428537458796600,10398
202481594609210,10,-81,1551428537557994823,10398
202481602084751,10,-66,1551428537558037933,10398
202481590956569,10,-54,1551428537657807006,10398
202481598108029,10,-81,1551428537657853691,10398
