scanner,tag,strength,timestamp,zone
202481592814994,10,-88,1551433044756958108,1208
202481594469276,10,-82,1551433044757079964,1208
202481586687629,10,-87,1551433044757173468,1208
202481590274456,10,-84,1551433044757410736,1208
202481592285809,10,-73,1551433044757438494,1208
202481599414040,10,-51,1551433044857331482,1208
202481601426033,10,-85,1551433044857865027,1208
202481594469276,10,-78,1551433044957163633,1208
202481594361561,10,-92,1551433044957256486,1208
202481592285809,10,-58,1551433044957263325,1208
202481592757237,10,-79,1551433044957309686,1208
202481586283485,10,-77,1551433044957532291,1208
202481586687629,10,-76,1551433044957539008,1208
202481589823194,10,-84,1551433044957874355,1208
202481592285809,10,-71,1551433045056979042,1208
202481599414040,10,-70,1551433045057151261,1208
202481594609210,10,-73,1551433045057384760,1208
202481589823194,10,-81,1551433045156922837,1208
202481592285809,10,-59,1551433045157025741,1208
202481599414040,10,-68,1551433045157235574,1208
202481586687629,10,-76,1551433045157547242,1208
202481586283485,10,-67,1551433045157571886,1208
202481597435935,10,-82,1551433045157585199,1208
202481594821872,10,-79,1551433045157731345,1208
202481594609210,10,-69,1551433045157753788,1208
202481590274456,10,-74,1551433045157969485,1208
202481592814994,10,-78,1551433045257437559,1208
202481592285809,10,-65,1551433045257574890,1208
202481590274456,10,-82,1551433045257934431,1208
202481586283485,10,-81,1551433045357636939,1208
202481592285809,10,-67,1551433045357640276,1208
202481599414040,10,-62,1551433045357690038,1208
202481594609210,10,-76,1551433045357930204,1208
202481590274456,10,-76,1551433045457107766,1208
202481594609210,10,-74,1551433045457988572,1208
202481592814994,10,-70,1551433045556970872,1208
202481590274456,10,-80,1551433045557652771,1208
202481592285809,10,-55,1551433045557788231,1208
202481589823194,10,-86,1551433045656956467,1208
202481590274456,10,-72,1551433045657087652,1208
202481601426033,10,-81,1551433045657093360,1208
202481586687629,10,-76,1551433045657152314,1208
202481592285809,10,-55,1551433045657185840,1208
202481597435935,10,-86,1551433045657352513,1208
202481599414040,10,-62,1551433045657473962,1208
202481592814994,10,-65,1551433045657501771,1208
202481602084751,10,-81,1551433045657697334,1208
202481594469276,10,-81,1551433045657935954,1208
202481590956569,10,-81,1551433045657944328,1208
202481590274456,10,-61,1551433045757135740,1208
202481586283485,10,-78,1551433045857003463,1208
202481594821872,10,-91,1551433045857025941,1208
202481589823194,10,-85,1551433045857249035,1208
202481590274456,10,-73,1551433045857761489,1208
202481586687629,10,-78,1551433045857888020,1208
202481592285809,10,-68,1551433045857930200,1208
202481594609210,10,-71,1551433045956972094,1208
202481592285809,10,-77,1551433045957087692,1208
202481599414040,10,-65,1551433045957899297,1208
202481594609210,10,-66,1551433046057053500,1208
202481589823194,10,-75,1551433046057137203,1208
202481592814994,10,-63,1551433046057214931,1208
202481590274456,10,-54,1551433046057331635,1208
202481586687629,10,-79,1551433046057613899,1208
202481594469276,10,-69,1551433046057617110,1208
202481592285809,10,-56,1551433046057698640,1208
202481586283485,10,-79,1551433046057941386,1208
202481592757237,10,-76,1551433046157115908,1208
202481594345615,10,-75,1551433046157150368,1208
202481590956569,10,-84,1551433046157441054,1208
202481599414040,10,-68,1551433046157491930,1208
202481592285809,10,-69,1551433046157679285,1208
202481592814994,10,-81,1551433046157849125,1208
202481590274456,10,-62,1551433046157876741,1208
202481601426033,10,-85,1551433046157877676,1208
202481594469276,10,-74,1551433046157918968,1208
202481597435935,10,-86,1551433046157942821,1208
202481592757237,10,-70,1551433046257063166,1208
202481592814994,10,-73,1551433046257109579,1208
202481589823194,10,-81,1551433046257181575,1208
202481590274456,10,-69,1551433046257493717,1208
202481594469276,10,-75,1551433046257533893,1208
202481586283485,10,-74,1551433046257604560,1208
202481586687629,10,-76,1551433046257666315,1208
202481594821872,10,-85,1551433046257802755,1208
202481592285809,10,-61,1551433046257895690,1208
202481586687629,10,-82,1551433046356993739,1208
202481586283485,10,-81,1551433046357531844,1208
202481592285809,10,-70,1551433046357846102,1208
202481592814994,10,-66,1551433046456956605,1208
202481586283485,10,-75,1551433046457238317,1208
202481592757237,10,-77,1551433046457246049,1208
202481594345615,10,-92,1551433046457306850,1208
202481594469276,10,-78,1551433046457491288,1208
202481594609210,10,-71,1551433046457534052,1208
202481594821872,10,-85,1551433046457737498,1208
202481602084751,10,-84,1551433046457759216,1208
202481589823194,10,-87,1551433046457780432,1208
202481599414040,10,-57,1551433046457964336,1208
202481592285809,10,-68,1551433046557067140,1208
202481592757237,10,-80,1551433046657023999,1208
202481592285809,10,-60,1551433046657327268,1208
202481597435935,10,-86,1551433046657329374,1208
202481594469276,10,-73,1551433046657508107,1208
202481594609210,10,-68,1551433046657734708,1208
202481586687629,10,-73,1551433046657778992,1208
202481599414040,10,-47,1551433046657808682,1208
202481592814994,10,-65,1551433046657863336,1208
202481589823194,10,-80,1551433046657945691,1208
202481586283485,10,-84,1551433046657958687,1208
202481594821872,10,-81,1551433046756903842,1208
202481594609210,10,-67,1551433046756914368,1208
202481592757237,10,-78,1551433046756969843,1208
202481594345615,10,-85,1551433046756998257,1208
202481586283485,10,-85,1551433046757348180,1208
202481599414040,10,-70,1551433046757764747,1208
202481589823194,10,-81,1551433046757924687,1208
202481592814994,10,-87,1551433046857142611,1208
202481590274456,10,-70,1551433046857567779,1208
202481592285809,10,-76,1551433046857756088,1208
202481599414040,10,-67,1551433046857908659,1208
202481590274456,10,-72,1551433046957042807,1208
202481586687629,10,-88,1551433046957165100,1208
202481594469276,10,-94,1551433046957683048,1208
202481592285809,10,-61,1551433046957788789,1208
202481592814994,10,-79,1551433046957826727,1208
202481592285809,10,-72,1551433047056894543,1208
202481594469276,10,-79,1551433047057396096,1208
202481592814994,10,-82,1551433047057438804,1208
202481590956569,10,-85,1551433047057479133,1208
202481586687629,10,-71,1551433047057573066,1208
202481590274456,10,-74,1551433047057661280,1208
202481586283485,10,-75,1551433047057884639,1208
202481592285809,10,-74,1551433047157535842,1208
202481594609210,10,-77,1551433047157645218,1208
202481599414040,10,-69,1551433047157788796,1208
202481586687629,10,-82,1551433047157853018,1208
202481597435935,10,-93,1551433047157874637,1208
202481590274456,10,-78,1551433047157899524,1208
202481590956569,10,-76,1551433047257211798,1208
202481586283485,10,-79,1551433047257284142,1208
202481589823194,10,-91,1551433047257433786,1208
202481602084751,10,-78,1551433047257573485,1208
202481599414040,10,-50,1551433047257600098,1208
202481592814994,10,-70,1551433047257911698,1208
202481592814994,10,-83,1551433047357086184,1208
202481602084751,10,-84,1551433047357947586,1208
202481599414040,10,-61,1551433047357978144,1208
202481601426033,10,-78,1551433047456944534,1208
202481602084751,10,-74,1551433047457845011,1208
202481586283485,10,-77,1551433047556926128,1208
202481592814994,10,-82,1551433047557128860,1208
202481594821872,10,-81,1551433047557150867,1208
202481594609210,10,-76,1551433047557264444,1208
202481599414040,10,-62,1551433047557434552,1208
202481592285809,10,-61,1551433047557512012,1208
202481602084751,10,-81,1551433047557704155,1208
202481589823194,10,-78,1551433047557866565,1208
202481601426033,10,-81,1551433047656943937,1208
202481597435935,10,-79,1551433047657115398,1208
202481586283485,10,-71,1551433047657301195,1208
202481592814994,10,-71,1551433047657358570,1208
202481590956569,10,-84,1551433047657372087,1208
202481599414040,10,-48,1551433047657486046,1208
202481594609210,10,-63,1551433047657491250,1208
202481589823194,10,-87,1551433047657554671,1208
202481590274456,10,-56,1551433047657643914,1208
202481586687629,10,-69,1551433047657676900,1208
202481592757237,10,-76,1551433047657863392,1208
202481592285809,10,-62,1551433047657914195,1208
202481590274456,10,-64,1551433047756950012,1208
202481592285809,10,-75,1551433047757128429,1208
202481594821872,10,-93,1551433047757867426,1208
202481592757237,10,-90,1551433047757977358,1208
202481592757237,10,-91,1551433047857116447,1208
202481592814994,10,-76,1551433047857143000,1208
202481594609210,10,-77,1551433047857157987,1208
202481599414040,10,-56,1551433047857161116,1208
202481602084751,10,-81,1551433047857243310,1208
202481590274456,10,-71,1551433047857544590,1208
202481594609210,10,-65,1551433047956914839,1208
202481594345615,10,-80,1551433047957106665,1208
202481599414040,10,-63,1551433047957281600,1208
202481592814994,10,-72,1551433047957339074,1208
202481592285809,10,-60,1551433047957345303,1208
202481586283485,10,-72,1551433047957514832,1208
202481586687629,10,-76,1551433047957640410,1208
202481592757237,10,-83,1551433047957720357,1208
202481594469276,10,-74,1551433047957821628,1208
202481592285809,10,-69,1551433048057021698,1208
202481594821872,10,-83,1551433048057171275,1208
202481586283485,10,-87,1551433048057407179,1208
202481590274456,10,-81,1551433048057526588,1208
202481586687629,10,-82,1551433048057854436,1208
202481590956569,10,-78,1551433048156955846,1208
202481594609210,10,-66,1551433048157119826,1208
202481590274456,10,-56,1551433048157247519,1208
202481586283485,10,-71,1551433048157316974,1208
202481592814994,10,-67,1551433048157494648,1208
202481592757237,10,-90,1551433048157840990,1208
202481599414040,10,-61,1551433048257129218,1208
202481594609210,10,-82,1551433048257666830,1208
202481594469276,10,-84,1551433048357019629,1208
202481592814994,10,-73,1551433048357094102,1208
202481586687629,10,-84,1551433048357688622,1208
202481590274456,10,-77,1551433048357805620,1208
202481586283485,10,-81,1551433048357848383,1208
202481590274456,10,-71,1551433048457480666,1208
202481594609210,10,-72,1551433048457790570,1208
202481592814994,10,-78,1551433048457910672,1208
202481592814994,10,-78,1551433048557036051,1208
202481589823194,10,-86,1551433048557476840,1208
202481586283485,10,-86,1551433048557509394,1208
202481592285809,10,-78,1551433048657057592,1208
202481586283485,10,-90,1551433048657096502,1208
202481594469276,10,-86,1551433048657223940,1208
202481590274456,10,-77,1551433048657364227,1208
202481586687629,10,-89,1551433048657571698,1208
202481592814994,10,-85,1551433048657622723,1208
202481592285809,10,-59,1551433048756986163,1208
202481599414040,10,-67,1551433048757380137,1208
202481590274456,10,-65,1551433048757422040,1208
202481592814994,10,-75,1551433048757901728,1208
202481592814994,10,-73,1551433048857047452,1208
202481592285809,10,-66,1551433048857205585,1208
202481599414040,10,-70,1551433048857241074,1208
202481590274456,10,-90,1551433048857468887,1208
202481594609210,10,-72,1551433048857472498,1208
202481590956569,10,-79,1551433048857780588,1208
202481586283485,10,-82,1551433048957570614,1208
202481590274456,10,-68,1551433048957677271,1208
202481592757237,10,-84,1551433048957843520,1208
202481602084751,10,-82,1551433048957846974,1208
202481592285809,10,-73,1551433048957866747,1208
202481592285809,10,-61,1551433049057216244,1208
202481594469276,10,-74,1551433049057228586,1208
202481594821872,10,-84,1551433049057290277,1208
202481586283485,10,-81,1551433049057311282,1208
202481590274456,10,-76,1551433049057513072,1208
202481586687629,10,-83,1551433049057770431,1208
202481589823194,10,-89,1551433049057943750,1208
202481592285809,10,-69,1551433049156985971,1208
202481590274456,10,-72,1551433049157378989,1208
202481599414040,10,-74,1551433049157923360,1208
202481592814994,10,-82,1551433049157982726,1208
202481597435935,10,-87,1551433049257066424,1208
202481590274456,10,-62,1551433049257269593,1208
202481599414040,10,-51,1551433049257334000,1208
202481602084751,10,-87,1551433049257505745,1208
202481592757237,10,-93,1551433049257889470,1208
202481592285809,10,-54,1551433049257908527,1208
202481594609210,10,-72,1551433049257959724,1208
202481601426033,10,-87,1551433049357470978,1208
202481592757237,10,-76,1551433049357745631,1208
202481592757237,10,-85,1551433049456922407,1208
202481602084751,10,-89,1551433049457010443,1208
202481592814994,10,-72,1551433049457241423,1208
202481599414040,10,-49,1551433049457318069,1208
202481594345615,10,-87,1551433049457529371,1208
202481601426033,10,-84,1551433049457735166,1208
202481592285809,10,-62,1551433049457816980,1208
202481594609210,10,-61,1551433049457891901,1208
202481594609210,10,-64,1551433049556922277,1208
202481599414040,10,-62,1551433049557183160,1208
202481602084751,10,-76,1551433049557248389,1208
202481592814994,10,-74,1551433049557449613,1208
202481592757237,10,-89,1551433049557693284,1208
202481599414040,10,-61,1551433049657083125,1208
202481594609210,10,-90,1551433049657104013,1208
202481590274456,10,-82,1551433049657401398,1208
202481592814994,10,-86,1551433049657445076,1208
202481592285809,10,-80,1551433049657669751,1208
