scanner,tag,strength,timestamp,zone
202481594609210,10,-73,1551411532757839058,1208
202481592285809,10,-73,1551411532758056299,1208
202481592814994,10,-79,1551411532758116721,1208
202481599414040,10,-74,1551411532758458793,1208
202481590274456,10,-79,1551411532857720244,1208
202481592285809,10,-65,1551411532857806294,1208
202481594821872,10,-87,1551411532858123516,1208
202481586283485,10,-82,1551411532858425919,1208
202481586687629,10,-86,1551411532858591581,1208
202481590956569,10,-82,1551411532957603368,1208
202481594609210,10,-68,1551411532957758947,1208
202481601426033,10,-84,1551411532957967613,1208
202481592285809,10,-51,1551411532958116997,1208
202481592285809,10,-72,1551411533057612200,1208
202481590274456,10,-63,1551411533057853631,1208
202481599414040,10,-68,1551411533058081319,1208
202481592814994,10,-83,1551411533058288997,1208
202481594609210,10,-68,1551411533158246286,1208
202481599414040,10,-62,1551411533158643692,1208
202481590274456,10,-61,1551411533257741386,1208
202481592285809,10,-59,1551411533257836046,1208
202481597435935,10,-84,1551411533258003945,1208
202481586687629,10,-72,1551411533258267836,1208
202481590956569,10,-84,1551411533258289624,1208
202481592814994,10,-74,1551411533258449252,1208
202481594469276,10,-73,1551411533258500002,1208
202481592814994,10,-68,1551411533357728729,1208
202481586283485,10,-83,1551411533357842737,1208
202481594821872,10,-88,1551411533357867092,1208
202481602084751,10,-86,1551411533357907058,1208
202481599414040,10,-67,1551411533358293015,1208
202481589823194,10,-83,1551411533358427963,1208
202481594345615,10,-94,1551411533358479228,1208
202481594609210,10,-73,1551411533358623888,1208
202481586687629,10,-83,1551411533358640840,1208
202481594609210,10,-64,1551411533458048268,1208
202481590956569,10,-74,1551411533458090979,1208
202481600146643,10,-85,1551411533458126180,1208
202481602084751,10,-80,1551411533458535211,1208
202481592814994,10,-72,1551411533557948115,1208
202481592285809,10,-67,1551411533558070331,1208
202481599414040,10,-53,1551411533558379793,1208
202481601426033,10,-84,1551411533558583032,1208
202481594345615,10,-84,1551411533657894113,1208
202481586687629,10,-80,1551411533658019869,1208
202481594469276,10,-87,1551411533658092126,1208
202481599414040,10,-57,1551411533658442448,1208
202481592285809,10,-73,1551411533757829689,1208
202481599414040,10,-54,1551411533757845596,1208
202481592814994,10,-81,1551411533757957019,1208
202481590274456,10,-87,1551411533758267080,1208
202481594609210,10,-62,1551411533758579030,1208
202481592285809,10,-66,1551411533857753621,1208
202481592814994,10,-79,1551411533858124144,1208
202481599414040,10,-63,1551411533858160310,1208
202481590274456,10,-77,1551411533858311900,1208
202481594609210,10,-88,1551411533858484066,1208
202481592814994,10,-81,1551411533958076159,1208
202481592285809,10,-74,1551411533958126851,1208
202481599414040,10,-65,1551411533958152400,1208
202481590274456,10,-84,1551411533958462505,1208
202481597435935,10,-76,1551411534057981259,1208
202481594469276,10,-70,1551411534058286556,1208
202481592285809,10,-63,1551411534058387474,1208
202481590274456,10,-64,1551411534058569792,1208
202481592814994,10,-62,1551411534058607946,1208
202481594469276,10,-75,1551411534157963734,1208
202481592285809,10,-80,1551411534158415696,1208
202481586283485,10,-89,1551411534158492560,1208
202481590274456,10,-80,1551411534158682353,1208
202481586687629,10,-72,1551411534158684994,1208
202481592285809,10,-61,1551411534258002839,1208
202481592285809,10,-65,1551411534358085605,1208
202481599414040,10,-61,1551411534358426302,1208
202481590274456,10,-82,1551411534358453569,1208
202481586687629,10,-92,1551411534358593219,1208
202481590274456,10,-66,1551411534457694458,1208
202481592814994,10,-90,1551411534457865076,1208
202481602084751,10,-73,1551411534458003044,1208
202481590956569,10,-82,1551411534458066404,1208
202481602084751,10,-79,1551411534557798502,1208
202481599414040,10,-64,1551411534558261074,1208
202481592814994,10,-84,1551411534657806058,1208
202481594609210,10,-79,1551411534758153134,1208
202481590274456,10,-80,1551411534758206784,1208
202481592814994,10,-74,1551411534758291325,1208
202481594609210,10,-72,1551411534858391166,1208
202481602084751,10,-81,1551411534957595253,1208
202481590956569,10,-75,1551411534957624493,1208
202481592285809,10,-58,1551411534957792578,1208
202481586687629,10,-80,1551411534957811409,1208
202481586283485,10,-76,1551411534957951190,1208
202481592814994,10,-72,1551411534958088871,1208
202481594609210,10,-66,1551411534958125752,1208
202481594469276,10,-84,1551411534958253234,1208
202481601426033,10,-81,1551411534958580585,1208
202481599414040,10,-52,1551411534958613870,1208
202481594345615,10,-90,1551411534958685299,1208
202481590956569,10,-87,1551411535058238630,1208
202481599414040,10,-63,1551411535058506926,1208
202481594609210,10,-66,1551411535058679882,1208
202481590274456,10,-62,1551411535157663128,1208
202481592814994,10,-71,1551411535157716951,1208
202481586687629,10,-68,1551411535158133757,1208
202481599414040,10,-47,1551411535257616928,1208
202481592814994,10,-71,1551411535257902069,1208
202481601426033,10,-82,1551411535258071498,1208
202481590274456,10,-55,1551411535258105233,1208
202481602084751,10,-79,1551411535258373519,1208
202481594609210,10,-81,1551411535258459046,1208
202481586283485,10,-77,1551411535357880875,1208
202481594609210,10,-79,1551411535358231178,1208
202481599414040,10,-59,1551411535358618647,1208
202481592285809,10,-78,1551411535457780704,1208
202481594469276,10,-89,1551411535458462233,1208
202481589823194,10,-91,1551411535458524863,1208
202481592814994,10,-80,1551411535458684136,1208
202481590274456,10,-66,1551411535557600406,1208
202481599414040,10,-48,1551411535557632303,1208
202481602084751,10,-85,1551411535557694212,1208
202481594292315,10,-87,1551411535557712514,1208
202481592285809,10,-62,1551411535557781195,1208
202481592814994,10,-63,1551411535557873185,1208
202481592757237,10,-81,1551411535557880488,1208
202481594609210,10,-59,1551411535557994729,1208
