scanner,tag,strength,timestamp,zone
202481599323929,10,-89,1551416853757089845,2412
202481591115309,10,-75,1551416853757101759,2412
202481593583243,10,-77,1551416853757252722,2412
202481587122663,10,-71,1551416853757277475,2412
202481587091977,10,-78,1551416853757296499,2412
202481601995306,10,-69,1551416853757545543,2412
202481591721573,10,-85,1551416853856876769,2412
202481601995306,10,-67,1551416853857178707,2412
202481593583243,10,-72,1551416853857530108,2412
202481591447923,10,-82,1551416853956823272,2412
202481593583243,10,-80,1551416853956943310,2412
202481587091977,10,-73,1551416853957198166,2412
202481591721573,10,-78,1551416853957283227,2412
202481600284849,10,-76,1551416853957431086,2412
202481596210804,10,-90,1551416853957480884,2412
202481601738649,10,-68,1551416853957622369,2412
202481587122663,10,-71,1551416853957733991,2412
202481601738649,10,-68,1551416854057074530,2412
202481601995306,10,-78,1551416854057231811,2412
202481593583243,10,-73,1551416854057483983,2412
202481601180343,10,-92,1551416854057536852,2412
202481600284849,10,-75,1551416854057559748,2412
202481593583243,10,-74,1551416854157035270,2412
202481588235228,10,-81,1551416854157139665,2412
202481601995306,10,-61,1551416854157181193,2412
202481601738649,10,-62,1551416854157441078,2412
202481591721573,10,-87,1551416854157444978,2412
202481587122663,10,-64,1551416854157702496,2412
202481591115309,10,-69,1551416854157757483,2412
202481590930337,10,-86,1551416854257109415,2412
202481587091977,10,-86,1551416854257171801,2412
202481601995306,10,-69,1551416854257221545,2412
202481601180343,10,-90,1551416854257417701,2412
202481601738649,10,-67,1551416854257447989,2412
202481593583243,10,-75,1551416854257602842,2412
202481591721573,10,-76,1551416854257652827,2412
202481601738649,10,-72,1551416854356993779,2412
202481591447923,10,-87,1551416854357134309,2412
202481587122663,10,-84,1551416854357270011,2412
202481591721573,10,-70,1551416854357402723,2412
202481591115309,10,-71,1551416854357605497,2412
202481590930337,10,-79,1551416854357828720,2412
202481600284849,10,-81,1551416854457590184,2412
202481593583243,10,-72,1551416854556892043,2412
202481591115309,10,-69,1551416854557149229,2412
202481601738649,10,-62,1551416854557289286,2412
202481587122663,10,-77,1551416854557546782,2412
202481590930337,10,-85,1551416854557574902,2412
202481601995306,10,-68,1551416854557576047,2412
202481591721573,10,-77,1551416854656796912,2412
202481591447923,10,-82,1551416854657125958,2412
202481587091977,10,-87,1551416854657155546,2412
202481600284849,10,-92,1551416854657201555,2412
202481601738649,10,-67,1551416854657438363,2412
202481601180343,10,-83,1551416854657493509,2412
202481593583243,10,-69,1551416854657630849,2412
202481601995306,10,-61,1551416854756953324,2412
202481591721573,10,-73,1551416854757080359,2412
202481602112786,10,-83,1551416854757147744,2412
202481587091977,10,-84,1551416854757311267,2412
202481592457971,10,-87,1551416854757333137,2412
202481591447923,10,-73,1551416854757359787,2412
202481601738649,10,-74,1551416854757825281,2412
202481591721573,10,-88,1551416854856971779,2412
202481587122663,10,-83,1551416854857126869,2412
202481591447923,10,-88,1551416854857280166,2412
202481587122663,10,-86,1551416854956913114,2412
202481591115309,10,-78,1551416854956986269,2412
202481591721573,10,-83,1551416854957038203,2412
202481593583243,10,-84,1551416854957517857,2412
202481587091977,10,-89,1551416855057518054,2412
202481601738649,10,-72,1551416855057717739,2412
202481601995306,10,-65,1551416855057787119,2412
202481591447923,10,-87,1551416855157247729,2412
202481601738649,10,-73,1551416855157384616,2412
202481601995306,10,-77,1551416855157731113,2412
202481601738649,10,-76,1551416855257529880,2412
202481591721573,10,-81,1551416855356823290,2412
202481600284849,10,-86,1551416855356922928,2412
202481591447923,10,-82,1551416855357105209,2412
202481587091977,10,-74,1551416855357139914,2412
202481601738649,10,-58,1551416855357150245,2412
202481601995306,10,-75,1551416855357512589,2412
202481593583243,10,-82,1551416855357624103,2412
202481591115309,10,-85,1551416855357723215,2412
202481590930337,10,-81,1551416855357816757,2412
202481587122663,10,-73,1551416855457328680,2412
202481587091977,10,-80,1551416855457707082,2412
202481601738649,10,-61,1551416855556821078,2412
202481599323929,10,-82,1551416855557132289,2412
202481588235228,10,-84,1551416855557271014,2412
202481593583243,10,-68,1551416855557680314,2412
202481587122663,10,-68,1551416855557704470,2412
202481601180343,10,-85,1551416855557733414,2412
202481600436103,10,-83,1551416855557749607,2412
202481587091977,10,-80,1551416855656735734,2412
202481591447923,10,-77,1551416855656776005,2412
202481590930337,10,-87,1551416855656807560,2412
202481591721573,10,-87,1551416855657021228,2412
202481593583243,10,-83,1551416855657119375,2412
202481587122663,10,-75,1551416855657630795,2412
202481599323929,10,-78,1551416855756963010,2412
202481591447923,10,-83,1551416855757132427,2412
202481601738649,10,-63,1551416855757198173,2412
202481601180343,10,-75,1551416855757282195,2412
202481601995306,10,-65,1551416855757298151,2412
202481587091977,10,-71,1551416855757392576,2412
202481593583243,10,-81,1551416855757564245,2412
202481591721573,10,-82,1551416855757684662,2412
202481601995306,10,-69,1551416855856730641,2412
202481601738649,10,-77,1551416855857819037,2412
202481591721573,10,-70,1551416855956755981,2412
202481591115309,10,-69,1551416855957108708,2412
202481601995306,10,-66,1551416855957123515,2412
202481593583243,10,-73,1551416855957397912,2412
202481601738649,10,-66,1551416855957620903,2412
202481590930337,10,-73,1551416855957659046,2412
202481591447923,10,-83,1551416856057009134,2412
202481591115309,10,-84,1551416856057235220,2412
202481593583243,10,-77,1551416856157204545,2412
202481591721573,10,-73,1551416856157238796,2412
202481601738649,10,-70,1551416856157567939,2412
202481601995306,10,-88,1551416856157722124,2412
202481591447923,10,-87,1551416856256750869,2412
202481594292315,10,-85,1551416856256767567,2412
202481601738649,10,-69,1551416856256801267,2412
202481591721573,10,-78,1551416856257193325,2412
202481601995306,10,-65,1551416856257254398,2412
202481593583243,10,-77,1551416856257824915,2412
202481601738649,10,-61,1551416856356765129,2412
202481601180343,10,-83,1551416856356964468,2412
202481601995306,10,-75,1551416856357364592,2412
202481590930337,10,-79,1551416856357384603,2412
202481587122663,10,-79,1551416856357405062,2412
202481586745007,10,-91,1551416856357466723,2412
202481591447923,10,-78,1551416856357643351,2412
202481587091977,10,-79,1551416856357713165,2412
202481601995306,10,-69,1551416856456787478,2412
202481591447923,10,-83,1551416856457683123,2412
202481601738649,10,-84,1551416856457774353,2412
202481601738649,10,-81,1551416856557049085,2412
202481601180343,10,-83,1551416856557273857,2412
202481591447923,10,-79,1551416856656846435,2412
202481587122663,10,-73,1551416856656861976,2412
202481601738649,10,-62,1551416856656991864,2412
202481601180343,10,-86,1551416856657419825,2412
202481591721573,10,-76,1551416856657547500,2412
202481593583243,10,-78,1551416856756834178,2412
202481601995306,10,-58,1551416856757151828,2412
202481601738649,10,-67,1551416856757187750,2412
202481591447923,10,-91,1551416856757338405,2412
202481591721573,10,-76,1551416856757391346,2412
